#SampleID,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
678.OA.mesocosm.431,143,51547,31107,35511,50810,20626
678.OA.mesocosm.438,143,41795,27680,30661,41181,19904
678.seasonal.insitu.sample.500,143,60551,35831,39012,58815,21157
678.seasonal.insitu.sample.501,143,96139,55960,60125,93036,36181
678.seasonal.insitu.sample.506,143,71945,39058,42083,69106,29702
678.seasonal.insitu.sample.539,143,67061,44313,47214,65572,28398
678.seasonal.insitu.sample.546,143,125457,82228,87281,122030,49020
678.seasonal.insitu.sample.590,143,90009,48185,52699,87376,39380
678.T.RFLP.Sample.636,143,66273,40543,42893,64521,26003
678.T.RFLP.Sample.654,143,57542,32221,34930,55920,28267
678.T.RFLP.Sample.724,143,65555,36770,39873,64449,32397
678.T.RFLP.Sample.737,143,106136,80653,84384,104751,56615
722.CL3.1.s.1.1.sequence,100,129909,106716,111943,124394,32597
722.F11Tong.1.s.1.1.sequence,100,209116,196824,200028,207667,76165
722.M11Plmr.1.s.1.1.sequence,100,64305,60211,60691,62750,23778
722.M31Tong.1.s.1.1.sequence,100,232598,221008,221989,231062,99022
722.NP2.1.s.1.1.sequence,100,74324,64996,66681,72948,28969
722.NP3.1.s.1.1.sequence,100,197200,175652,178403,194059,79947
722.TRRsed2.1.s.1.1.sequence,100,91673,65321,67740,87977,23055
722.TRRsed3.1.s.1.1.sequence,100,87756,51516,53416,83934,22504
722.AQC1cm.2.s.2.1.sequence,100,154936,131851,135743,152934,61352
722.F11Fcsw.2.s.2.1.sequence,100,178581,170149,171572,177316,71672
722.F11Plmr.2.s.2.1.sequence,100,23751,22989,23107,23494,8164
722.F11Tong.2.s.2.1.sequence,100,170120,160132,162193,169370,50225
722.M31Plmr.2.s.2.1.sequence,100,69915,65364,65705,69169,19840
722.M31Tong.2.s.2.1.sequence,100,201430,191256,191817,200572,77001
722.NP2.2.s.2.1.sequence,100,62538,54613,55987,61744,23175
722.NP5.2.s.2.1.sequence,100,235714,183544,187167,233328,84810
722.TRRsed2.2.s.2.1.sequence,100,73814,54062,56015,71463,15891
722.TRRsed3.2.s.2.1.sequence,100,69389,43040,44670,67013,15636
722.AQC4cm.3.s.3.1.sequence,100,382124,323715,332327,377822,159812
722.AQC7cm.3.s.3.1.sequence,100,280287,234620,242145,276392,110422
722.F11Plmr.3.s.3.1.sequence,100,25379,24729,24870,25106,9822
722.F11Tong.3.s.3.1.sequence,100,212385,206161,208822,211503,73420
722.M11Plmr.3.s.3.1.sequence,100,60262,57930,58268,59360,24178
722.M31Fcsw.3.s.3.1.sequence,100,214177,209562,210083,213095,93092
722.M31Tong.3.s.3.1.sequence,100,251556,246273,247009,250553,112109
722.NP5.3.s.3.1.sequence,100,265484,215910,219910,263195,107928
722.SLEpi20M.3.s.3.1.sequence,100,200221,170873,172592,198464,88336
722.TRRsed2.3.s.3.1.sequence,100,91758,69757,72329,89526,23125
722.TRRsed3.3.s.3.1.sequence,100,78848,49924,51799,76352,19892
722.AQC1cm.4.s.4.1.sequence,100,158714,138122,141715,156821,68025
722.AQC4cm.4.s.4.1.sequence,100,360748,303992,312310,356530,149934
722.CC1.4.s.4.1.sequence,100,167644,142083,146403,161491,42734
722.F11Tong.4.s.4.1.sequence,100,188241,181133,183561,187350,64995
722.M11Plmr.4.s.4.1.sequence,100,51934,49560,49885,51114,20733
722.M11Tong.4.s.4.1.sequence,100,14085,13274,13397,13903,5275
722.M31Plmr.4.s.4.1.sequence,100,81202,78959,79348,80553,26765
722.M31Tong.4.s.4.1.sequence,100,218991,212813,213512,218120,98170
722.NP3.4.s.4.1.sequence,100,182650,168329,170427,181034,80965
722.NP5.4.s.4.1.sequence,100,237147,192021,195763,235157,95420
722.SLEpi20M.4.s.4.1.sequence,100,171527,145932,147463,169926,73941
722.TRRsed2.4.s.4.1.sequence,100,88853,66877,69246,86512,23335
722.TRRsed3.4.s.4.1.sequence,100,66918,41992,43501,64704,17464
722.AQC4cm.5.s.6.1.sequence,100,564350,480622,493836,558852,261934
722.F11Tong.5.s.6.1.sequence,100,344805,335818,340343,343766,147248
722.M11Plmr.5.s.6.1.sequence,100,85441,82372,82883,84518,39931
722.M11Tong.5.s.6.1.sequence,100,19775,18590,18733,19482,8716
722.NP2.5.s.6.1.sequence,100,108565,100333,102673,107966,53526
722.NP5.5.s.6.1.sequence,100,392238,325124,331093,389655,184099
722.TRRsed1.5.s.6.1.sequence,100,20581,14552,15395,19737,5851
722.TRRsed2.5.s.6.1.sequence,100,152204,116256,120452,149163,47867
722.TRRsed3.5.s.6.1.sequence,100,121148,76709,79173,117960,37972
722.TS28.5.s.6.1.sequence,100,194912,189314,190423,193854,88688
722.TS29.5.s.6.1.sequence,100,252553,248135,248644,251630,109241
722.AQC4cm.6.s.7.1.sequence,100,540141,458194,471190,534982,252285
722.AQC7cm.6.s.7.1.sequence,100,396652,332148,343619,392242,175825
722.F11Plmr.6.s.7.1.sequence,100,30786,30176,30315,30591,14567
722.F11Tong.6.s.7.1.sequence,100,349151,340185,345023,348311,157150
722.M11Tong.6.s.7.1.sequence,100,24641,23151,23354,24351,11128
722.M31Plmr.6.s.7.1.sequence,100,137864,136278,136741,137345,57095
722.M31Tong.6.s.7.1.sequence,100,395770,388458,389742,394476,217452
722.NP3.6.s.7.1.sequence,100,298626,278708,282320,296838,157216
722.NP5.6.s.7.1.sequence,100,379448,315911,321768,377281,183024
722.TRRsed1.6.s.7.1.sequence,100,20576,14488,15310,19726,6037
722.TRRsed2.6.s.7.1.sequence,100,151306,115840,119986,148476,50136
722.TRRsed3.6.s.7.1.sequence,100,98632,63247,65214,96264,32648
722.TS29.6.s.7.1.sequence,100,206094,202797,203183,205476,95927
722.AQC4cm.7.s.8.1.sequence,100,442908,374448,384913,438510,198817
722.CC1.7.s.8.1.sequence,100,219645,188463,194302,212859,63917
722.F11Tong.7.s.8.1.sequence,100,278349,270664,274505,277561,119116
722.M11Fcsw.7.s.8.1.sequence,100,326361,318831,319947,325225,162378
722.M11Plmr.7.s.8.1.sequence,100,57683,55612,55939,57059,26997
722.M11Tong.7.s.8.1.sequence,100,18577,17476,17626,18326,7874
722.M31Fcsw.7.s.8.1.sequence,100,203685,199940,200431,202973,104285
722.M31Plmr.7.s.8.1.sequence,100,112323,110863,111270,111824,44618
722.NP2.7.s.8.1.sequence,100,89755,83168,85147,89230,44296
722.NP3.7.s.8.1.sequence,100,248021,231207,234162,246527,125555
722.TRRsed2.7.s.8.1.sequence,100,118897,90291,93537,116428,37198
722.TRRsed3.7.s.8.1.sequence,100,74829,47578,49073,72792,23634
723.C7.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,238685,208247,212163,237538,163972
723.C7.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,131894,113633,115788,131263,90238
723.C7.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,171105,153275,158324,170553,128593
723.C8.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,90148,81143,82828,89866,66563
723.C9.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,24840,21442,21828,24727,16821
723.C10.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,112414,98648,103007,111935,79804
723.C10.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,32990,29418,29719,32841,22668
723.C11.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,23977,21653,22059,23876,17307
723.C11.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,137,110293,101539,103760,109958,80676
723.IC1.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,137,302839,102554,107008,301919,81809
723.IC3.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,137,242311,197989,205963,239527,162427
723.IC3.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,137,154887,133621,135971,153924,106390
723.IC4.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,137,448873,400423,406882,447232,320506
755.EF.DELTA.26.05.11.lane1.NoIndex.L001,150,64638,57722,58719,64192,39864
755.EF.GAMMA.09.06.11.lane1.NoIndex.L001,150,60750,57623,57624,60555,41035
755.INB.24.08.11.lane1.NoIndex.L001,150,87439,54792,59711,86528,50235
755.INA.19.07.11.lane1.NoIndex.L001,150,90543,62609,66230,89379,51801
755.INB.26.07.11.lane1.NoIndex.L001,150,83374,69425,71109,82465,50339
755.LSSF.ALPHA.D20.16.06.11.lane1.NoIndex.L001,150,83502,61976,65545,82114,45805
755.LAB.IN.22.07.11.lane1.NoIndex.L001,150,88096,53951,54645,87296,55145
755.EF.BETA.30.06.11.lane1.NoIndex.L001,150,85024,67695,69530,84300,54472
755.EFB.18.10.11.lane1.NoIndex.L001,150,70833,63887,65523,70349,43742
755.INB.20.09.11.lane1.NoIndex.L001,150,63422,55895,56313,62730,40748
755.EFA.20.09.11.lane1.NoIndex.L001,150,75418,67308,67753,74835,51051
755.INB.17.05.11.lane1.NoIndex.L001,150,89499,83109,83758,88920,56641
755.SSFB.L3.D50.17.05.11.lane1.NoIndex.L001,150,70602,51690,54190,69892,42028
755.SSFB.L1.D1.10.05.11.lane1.NoIndex.L001,150,41898,26424,28640,41397,24952
755.SSF.uneven.mix1.lane3.NoIndex.L003,150,28411,26966,27004,27942,17783
776.SN.BE.T3B,100,225528,193496,211995,222442,116638
776.SC.C.T1C,100,160274,148216,149840,158288,93932
776.Ant.Solo.cont.A,100,89237,83170,84628,88602,58189
804.3651.0938,141,378826,287705,301814,373679,216338
804.3651.1231,141,315493,191411,201210,310873,169602
804.3862.1219,141,151183,125868,128450,149136,79423
804.3862.1325,141,250443,169922,181161,241781,130967
804.3869.1404,141,161786,74612,80003,149339,67311
804.3869.1446,141,287801,223548,241504,284482,155732
804.3871.1241,141,316405,154042,172836,310007,177694
804.3876.1104,141,237471,186229,194968,232358,120919
804.3876.1113,141,284179,162480,169869,272290,129268
804.3876.1219,141,269337,172935,182201,265322,151012
804.3876.1436,141,211995,147136,156222,206904,85130
804.073105.bio1slurpA1.2109.1.1,141,261670,156832,171562,250143,103130
804.073105.bio1slurpA1.2109.2.1,141,217348,141019,152051,207571,92078
804.073105.bio1slurpA1.2109.3.1,141,315695,197915,215242,303382,147878
804.3651.1123A,141,426127,260882,279706,409619,173537
804.3651.1123B,141,319498,237355,244502,313654,161698
804.3867.1228.2,141,273208,188587,199859,264525,123983
804.3867.1228.4,141,105677,75314,79044,104518,66861
804.3867.1228.5,141,386372,260854,279548,372954,169213
804.3867.1228.6,141,344053,234465,249896,333992,163961
804.3869.1443E,141,107990,71330,77765,106792,67336
804.3871.1442.dark.side,141,103097,55233,57599,101718,59876
804.3872.1347A,141,82954,52498,56004,81854,51381
804.3872.1347B,141,78382,44111,47979,76753,40958
804.3872.1530A,141,62931,42028,44847,62180,31050
804.3872.1530B,141,64815,49748,52134,64156,40628
804.3873.1233A,141,71889,53684,55149,70951,44677
804.3873.1233B,141,105420,53867,62192,101527,47546
804.3881.1228.1,141,207701,170272,178146,204915,109005
804.3881.1256B,141,160476,95931,102840,154533,75669
804.H02.072605.R0621,141,422664,251232,270652,410586,194020
804.H02.072605.R0715,141,170474,91721,98202,157492,65352
804.H03.072605.R2252,141,240373,188704,198777,235299,121164
804.H03.072705.R0229,141,398990,287913,301215,383992,173090
804.H03.072705.R0424,141,111978,90900,103096,110477,65566
804.H03.072705.R0631,141,61241,47931,48996,60562,39661
804.H05.072905.R0229A,141,111143,104806,104966,110175,72334
804.H05.072905.R0229B,141,343294,254303,270653,337861,198370
804.H05.072905.R0347,141,90808,55112,58559,89510,55736
804.H06.073005.Bio2slurpA2.0326,141,91919,83662,85585,91106,59596
804.H06.073005.R0316,141,372994,306030,321688,366510,195776
804.H07.073105.R1053,141,319321,212317,231225,311578,151262
804.H07.073105.R1053.red.coating,141,320976,209437,224161,310040,145570
804.H08.073105.R2057,141,104477,57831,60865,103479,63107
804.H08.073105.R2238,141,182887,153225,157191,179996,92469
804.H08.080105.Bio5slurpB1.0428.1.1,141,106247,90061,91860,104715,60548
804.H08.080105.Bio5slurpB1.0428.2.1,141,242245,185794,192686,238624,139561
804.H08.080105.Bio5slurpB1.0428.3.1,141,294256,209884,226129,286785,163324
804.H08.080105.Bio5slurpB1.0428.4.1,141,330050,232677,250606,322308,144383
804.Julie.1,141,126127,108495,108151,124094,73167
804.Julie.10,141,119412,91187,92135,117798,71069
804.Julie.11,141,114087,95073,95922,112411,68608
804.Julie.12,141,72513,65387,66131,71653,46117
804.Julie.2,141,327756,236112,254307,320847,190282
804.Julie.3,141,444779,279732,299792,427639,179889
804.Julie.4,141,547446,359247,380453,526304,245539
804.Julie.5,141,358877,232107,246652,340846,154124
804.Julie.6,141,102972,74829,79032,101328,58342
804.Julie.7,141,124443,100061,99870,121084,60257
804.Julie.8,141,150347,103082,107303,144056,72603
804.Julie.9,141,130142,112983,115884,128658,77040
804.LS11.127,141,99324,90002,90246,98494,66821
804.LS11.128,141,116782,108052,108455,115665,77598
804.LS11.129,141,110002,88822,94403,108953,68017
804.LS11.130,141,112726,99521,100591,111336,67523
804.LS11.131,141,88986,73329,82500,88180,57155
804.LS11.19,141,116978,107431,108270,115584,72534
804.LS11.20,141,113607,98600,99335,111883,65967
804.LS11.30,141,90469,80977,82052,89609,59914
804.LS11.31,141,108164,90779,92351,106745,69617
804.LS11.32,141,95014,35995,40632,92718,56981
804.LS11.69,141,204019,125235,131125,199692,110807
804.LS11.70,141,304113,252962,260979,300198,174650
804.LS11.70a,141,318724,270279,278868,314837,176492
804.LS11.71,141,340555,287056,297962,335660,188926
804.LS11.71a,141,271510,211724,220327,264922,142682
804.LS11.72,141,253463,137770,147283,247740,136028
804.LS11.72a,141,106318,96387,96915,105425,64325
805.pH.5.5.year.2006,100,129531,113716,116681,124539,65916
805.pH.6.0.year.2006,100,144137,128144,131337,139998,73473
805.pH.7.0.year.2007,100,107705,94623,97534,103743,53360
807.BG.S.11.a,151,77088,50256,53796,74818,42049
807.BG.F.11.a,151,78260,47304,51602,75500,42298
807.BG.S.12.b,151,74774,49554,53908,72466,39388
807.B.S.11.a,151,59944,38372,42171,58264,32982
807.B.S.11.b,151,63003,43211,47749,61307,34153
807.B.F.11.b,151,79999,53642,58375,78006,43864
807.B.S.12.a,151,85635,57473,63026,83045,45742
807.C.F.10.a,151,85521,55864,60736,83123,46606
807.C.F.10.b,151,82286,52501,57033,79962,44804
807.C.S.11.a,151,75318,49243,52780,72923,40738
807.C.S.11.b,151,65354,43128,46648,63666,36203
807.C.F.11.a,151,71801,48492,52314,70006,40855
807.C.F.11.b,151,72285,47929,52213,70549,40667
807.C.S.12.a,151,57379,38764,42135,55633,32083
807.C.S.12.b,151,71260,47748,51273,69547,41108
807.E.F.10.a,151,72643,44177,50268,70653,39568
807.E.F.10.b,151,77080,47859,53023,74248,41304
807.E.S.11.a,151,74247,49535,55333,72478,39637
807.E.S.11.b,151,67377,43605,48734,65806,36236
807.E.F.11.a,151,73016,45407,50886,71112,40814
807.E.F.11.b,151,63556,41713,46071,62017,34498
807.S.S.11.a,151,80732,48936,55916,78587,44562
807.S.S.11.b,151,85878,51621,57700,83060,46359
807.S.F.11.a,151,76027,48186,53761,73962,42447
807.S.F.11.b,151,68944,44426,49916,66967,38095
807.S.S.12.a,151,76541,48507,54978,74251,42072
807.S.S.12.b,151,66997,43585,48067,64975,36599
807.W.F.10.a,151,73962,45612,50638,71750,39730
807.W.F.10.b,151,78139,49437,55030,76179,43074
807.W.S.11.a,151,68968,44754,48422,67036,37993
807.W.S.11.b,151,65815,41280,44847,64093,36287
807.W.F.11.a,151,77192,48130,53722,75127,42514
807.W.F.11.b,151,71001,42677,47405,69166,39946
807.W.S.12.a,151,67794,42744,47555,65905,37096
807.W.S.12.b,151,71848,46152,50520,69681,39301
808.AK.19.15a.s.4.1.sequences,100,330469,245437,255086,315342,133316
808.FL.3.16a.s.4.1.sequences,100,113405,92484,96025,109426,51220
808.UT.15.42.s.4.1.sequences.r,100,162343,133205,139475,156132,71324
809.PLRP1.50,100,319642,253080,260234,312839,157244
809.PLRP10.146,100,191029,127558,139864,187903,108641
809.PLRP11.85,100,228808,169335,176819,223275,115945
809.PLRP12.60,100,173041,137664,142775,169898,85857
809.PLRP13.35,100,278692,206351,215155,269727,133435
809.PLRP14.150,100,216293,159715,168105,209227,108444
809.PLRP15.mat,100,213192,146448,161150,208686,119838
809.PLRP16.mat,100,210427,159562,168829,205525,117013
809.PLRP17.mat,100,184549,115905,153878,181871,118670
809.PLRP18.10,100,197728,142073,148411,190450,93421
809.PLRP19.35,100,262670,146704,163689,242432,109971
809.PLRP20.106,100,162962,120531,126532,158669,83611
809.PLRP21.150,100,583627,408565,451167,576940,369446
809.PLRP3.85,100,250486,193297,201672,244878,123591
809.PLRP4.35,100,317506,251882,260274,309071,146946
809.PLRP5.55,100,246568,186244,194900,241176,122625
809.PLRP6.70,100,299286,226103,232372,295306,166170
809.PLRP8.41,100,341639,259243,268118,332541,165268
809.PLRP9.146,100,260048,191189,204528,255752,144742
810.1230A1H1,100,174153,151471,154519,171864,100845
810.1230A2H2,100,376253,346478,351649,374604,229104
810.1230C2H2,100,737194,713117,717450,734793,460415
829.JJ,100,49692,38471,39952,48756,36164
829.Pd,100,126391,98200,103564,117967,55442
846.Fagna24102011Soil12C2,100,255404,221758,228993,251113,132326
846.Fagna24102011Soil15A2,100,183283,158333,164092,180580,94985
846.Fagna24102011Soil4B2,100,182123,158618,163681,179408,92866
861.X10.jul09,151,65531,59548,58638,64766,46445
861.X52.jul09,151,77360,64468,64608,76570,60560
861.X70.jul09,151,82032,55905,61242,81001,60978
861.C4.mar09,151,97864,79165,82581,95820,66265
861.C15.dec08,151,64915,52714,52747,64037,46005
861.C17.dec08,151,94843,80358,82232,93102,67110
861.C4.jul09,151,77226,63885,65828,76079,54392
861.C13.5.jul09,151,59187,51163,51772,58508,41333
861.C18.jul09,151,66664,50896,51940,65510,42859
861.U10.jul09,151,84826,73898,75589,83080,55931
861.U70.jul09,151,13176,11887,11366,12944,8970
861.U80.jul09,151,32427,29160,28302,32122,22610
861.H4.mar09,151,69448,39103,41358,65621,33671
861.H10.mar09,151,87056,47419,49026,84766,55605
861.X10.mar09,151,117915,58601,64140,113276,69938
861.X60.dec08,151,107715,68982,81090,106180,76975
861.X83.dec08,151,84619,65097,70836,83859,62847
861.H4.jul09,151,94513,64485,65438,91068,48482
861.H10.4.jul09,151,129353,71029,74722,123919,75014
864.13.CON.addV.noG.noW.lane2.NoIndex,151,131458,117276,119375,129564,72122
864.2.OTC.addV.noG.noW.lane2.NoIndex,151,33209,25131,30637,32944,17515
864.3.CON.addV.addG.noW.A.lane2.NoIndex,151,80263,70838,72924,79383,48921
864.5.CON.addV.noG.noW.B.lane2.NoIndex,151,28296,24617,25301,28108,18685
889.25May.1,151,22858,15828,16509,19547,11191
889.25May.2,151,21293,14456,15058,18294,10468
889.25May.3,151,16902,11631,12002,14645,8372
889.25May.4,151,17365,11215,11768,14465,8174
889.26May.1,151,20835,14491,15027,18044,10309
889.26May.2,151,17447,11997,12397,14909,8303
889.26May.4,151,16442,10429,10955,13619,7601
894.UY1359.lane5.NoIndex.L005,150,44903,15849,20449,44230,28844
894.OR360.lane3.NoIndex.L003,150,24369,18211,19377,23886,11620
894.SV1387.lane5.NoIndex.L005,150,46217,38915,39533,45874,26585
894.SL863.lane3.NoIndex.L003,150,29590,25701,25957,29222,15792
894.UY792.lane3.NoIndex.L003,150,27267,22490,23356,26879,14686
894.OS604.lane3.NoIndex.L003,150,18522,15886,17279,18349,11383
894.YY974.lane5.NoIndex.L005,150,37657,35212,35543,37362,22456
894.F1462.lane5.NoIndex.L005,150,46361,37516,37927,46133,25772
895.Puhimau.mat.2,151,60997,23182,27923,60029,43956
895.Puhimau.mat.3,151,50191,11410,17831,49573,39248
895.Puhimau.soil.1,151,42899,34042,39838,42502,34304
895.Puhimau.soil.2,151,53523,46703,48945,52980,42340
895.Puhimau.soil.3,151,49973,32849,40659,49418,37704
905.Gullmarsfjord.stations4,151,74433,72361,72422,74137,60257
905.Alsback.4to4.5cm,151,80107,73274,73935,79412,57009
905.Alsback.0.5to0.75cm,151,64086,61215,61363,63825,50320
905.Alsback.0to0.25cm,151,66613,61827,63633,66313,49557
905.PLO6.t2.ANOX.0to1cm.1,151,69973,53111,55928,67927,35115
905.PLO6.t2.OX.0to1cm.2,151,76558,57281,60032,74150,38663
905.PLO6.t2.OX.0to1cm.1,151,74250,54556,57290,71729,36438
905.PLO6.t0D,151,74574,56376,59459,72551,38280
905.PLO6.t2.OSCOX.0to1cm.3,151,89023,62320,65600,85356,40772
905.PLO6.t2.OSCOX.0to1cm.2,151,75924,55461,58454,73546,36394
905.PLO6.t2.OSCOX.0to1cm.1,151,81461,58520,61238,78356,39249
905.PLO6.t3.ANOX.0to1cm.3,151,60574,43497,45754,58314,29532
905.SA.Station.4.tF,151,56529,52009,53397,55775,37752
905.SA.Station.3.t0,151,81360,62069,64121,77216,42974
905.SA.Station.7.tF,151,86396,67615,70300,83649,45968
905.SA.Station.7.t0,151,79447,63000,65793,77259,42811
910.AcrC6,151,69178,67010,67446,68879,56069
910.AcrC48,151,54387,53840,53893,54200,46184
910.AcrIFN,151,66607,65133,65360,66213,55347
910.AcrAB,151,68605,68165,68211,68403,58959
910.AcrHS,151,69649,67389,67864,69358,56451
910.AcrTA4,151,24924,23893,23663,24702,18188
910.AcrTA3,151,81043,71351,71420,75258,54590
